,Start Date,End Date,D,T,Energy,Energy_lag1,T_Out
55,1/18/2016 21:10,1/18/2016 23:50,8,56,2080,6890,-4.244117647
56,1/19/2016 0:00,1/19/2016 3:00,1,57,800,2080,-4.468421053
57,1/19/2016 3:10,1/19/2016 6:00,2,58,740,800,-4.233333333
58,1/19/2016 6:10,1/19/2016 9:00,3,59,780,740,-4.444444444
59,1/19/2016 9:10,1/19/2016 12:00,4,60,680,780,-3.025
60,1/19/2016 12:10,1/19/2016 15:00,5,61,720,680,0.041666667
61,1/19/2016 15:10,1/19/2016 18:00,6,62,1220,720,-0.219444444
62,1/19/2016 18:10,1/19/2016 21:00,7,63,5890,1220,-3.052777778
63,1/19/2016 21:10,1/19/2016 23:50,8,64,1160,5890,-4.005882353
64,1/20/2016 0:00,1/20/2016 3:00,1,65,710,1160,-4.790350877
65,1/20/2016 3:10,1/20/2016 6:00,2,66,750,710,-4.268518519
66,1/20/2016 6:10,1/20/2016 9:00,3,67,2020,750,-2.577777778
67,1/20/2016 9:10,1/20/2016 12:00,4,68,1610,2020,-1.713888889
68,1/20/2016 12:10,1/20/2016 15:00,5,69,1320,1610,-0.041666667
69,1/20/2016 15:10,1/20/2016 18:00,6,70,2020,1320,0.402777778
70,1/20/2016 18:10,1/20/2016 21:00,7,71,5750,2020,0.038888889
71,1/20/2016 21:10,1/20/2016 23:50,8,72,2300,5750,0.255882353
72,1/21/2016 0:00,1/21/2016 3:00,1,73,880,2300,-1.094736842
73,1/21/2016 3:10,1/21/2016 6:00,2,74,850,880,-1.172222222
74,1/21/2016 6:10,1/21/2016 9:00,3,75,740,850,-2.675
75,1/21/2016 9:10,1/21/2016 12:00,4,76,960,740,-0.336111111
76,1/21/2016 12:10,1/21/2016 15:00,5,77,1740,960,3.886111111
77,1/21/2016 15:10,1/21/2016 18:00,6,78,750,1740,2.977777778
78,1/21/2016 18:10,1/21/2016 21:00,7,79,5880,750,-0.211111111
79,1/21/2016 21:10,1/21/2016 23:50,8,80,1540,5880,0.091176471
80,1/22/2016 0:00,1/22/2016 3:00,1,81,720,1540,-0.3
81,1/22/2016 3:10,1/22/2016 6:00,2,82,700,720,-0.944444444
82,1/22/2016 6:10,1/22/2016 9:00,3,83,1100,700,-0.858333333
83,1/22/2016 9:10,1/22/2016 12:00,4,84,1520,1100,0.944444444
84,1/22/2016 12:10,1/22/2016 15:00,5,85,640,1520,3.494444444
85,1/22/2016 15:10,1/22/2016 18:00,6,86,680,640,3.136111111
86,1/22/2016 18:10,1/22/2016 21:00,7,87,640,680,3.597222222
87,1/22/2016 21:10,1/22/2016 23:50,8,88,580,640,3.958823529
88,1/23/2016 0:00,1/23/2016 3:00,1,89,690,580,4.768421053
89,1/23/2016 3:10,1/23/2016 6:00,2,90,690,690,5.222222222
90,1/23/2016 6:10,1/23/2016 9:00,3,91,1270,690,5.741666667
91,1/23/2016 9:10,1/23/2016 12:00,4,92,2410,1270,6.2
92,1/23/2016 12:10,1/23/2016 15:00,5,93,2890,2410,7.236111111
93,1/23/2016 15:10,1/23/2016 18:00,6,94,2400,2890,6.380555556
94,1/23/2016 18:10,1/23/2016 21:00,7,95,1710,2400,5.908333333
95,1/23/2016 21:10,1/23/2016 23:50,8,96,1340,1710,5.464705882
96,1/24/2016 0:00,1/24/2016 3:00,1,97,700,1340,5.281578947
97,1/24/2016 3:10,1/24/2016 6:00,2,98,680,700,6.038888889
98,1/24/2016 6:10,1/24/2016 9:00,3,99,4980,680,6.261111111
99,1/24/2016 9:10,1/24/2016 12:00,4,100,5210,4980,6.533333333
100,1/24/2016 12:10,1/24/2016 15:00,5,101,4720,5210,7.252777778
101,1/24/2016 15:10,1/24/2016 18:00,6,102,1350,4720,7.886111111
102,1/24/2016 18:10,1/24/2016 21:00,7,103,2310,1350,7.986111111
103,1/24/2016 21:10,1/24/2016 23:50,8,104,1690,2310,8.014705882
104,1/25/2016 0:00,1/25/2016 3:00,1,105,870,1690,8.1
105,1/25/2016 3:10,1/25/2016 6:00,2,106,820,870,7.819444444
106,1/25/2016 6:10,1/25/2016 9:00,3,107,820,820,6.838888889
107,1/25/2016 9:10,1/25/2016 12:00,4,108,750,820,9.866666667
108,1/25/2016 12:10,1/25/2016 15:00,5,109,830,750,12.46111111
109,1/25/2016 15:10,1/25/2016 18:00,6,110,830,830,11.48333333
110,1/25/2016 18:10,1/25/2016 21:00,7,111,2580,830,9.741666667
111,1/25/2016 21:10,1/25/2016 23:50,8,112,1970,2580,10.05
112,1/26/2016 0:00,1/26/2016 3:00,1,113,1760,1970,9.578947368
113,1/26/2016 3:10,1/26/2016 6:00,2,114,750,1760,8.397222222
114,1/26/2016 6:10,1/26/2016 9:00,3,115,1240,750,8.763888889
115,1/26/2016 9:10,1/26/2016 12:00,4,116,710,1240,9.661111111
116,1/26/2016 12:10,1/26/2016 15:00,5,117,730,710,10.70277778
117,1/26/2016 15:10,1/26/2016 18:00,6,118,730,730,10.03888889
118,1/26/2016 18:10,1/26/2016 21:00,7,119,1820,730,9.669444444
119,1/26/2016 21:10,1/26/2016 23:50,8,120,2530,1820,9.6
120,1/27/2016 0:00,1/27/2016 3:00,1,121,740,2530,9.936842105
121,1/27/2016 3:10,1/27/2016 6:00,2,122,660,740,10.13888889
122,1/27/2016 6:10,1/27/2016 9:00,3,123,1190,660,9.969444444
123,1/27/2016 9:10,1/27/2016 12:00,4,124,1350,1190,10.12777778
124,1/27/2016 12:10,1/27/2016 15:00,5,125,680,1350,11.13055556
125,1/27/2016 15:10,1/27/2016 18:00,6,126,640,680,10.85277778
126,1/27/2016 18:10,1/27/2016 21:00,7,127,680,640,9.816666667
127,1/27/2016 21:10,1/27/2016 23:50,8,128,630,680,9.770588235
128,1/28/2016 0:00,1/28/2016 3:00,1,129,740,630,9.715789474
129,1/28/2016 3:10,1/28/2016 6:00,2,130,690,740,7.775
130,1/28/2016 6:10,1/28/2016 9:00,3,131,610,690,5.394444444
131,1/28/2016 9:10,1/28/2016 12:00,4,132,700,610,5.383333333
132,1/28/2016 12:10,1/28/2016 15:00,5,133,720,700,7.197222222
133,1/28/2016 15:10,1/28/2016 18:00,6,134,650,720,5.691666667
134,1/28/2016 18:10,1/28/2016 21:00,7,135,650,650,2.575
135,1/28/2016 21:10,1/28/2016 23:50,8,136,640,650,2.841176471
136,1/29/2016 0:00,1/29/2016 3:00,1,137,730,640,3.355263158
137,1/29/2016 3:10,1/29/2016 6:00,2,138,640,730,4.277777778
138,1/29/2016 6:10,1/29/2016 9:00,3,139,680,640,4.794444444
139,1/29/2016 9:10,1/29/2016 12:00,4,140,620,680,6.408333333
140,1/29/2016 12:10,1/29/2016 15:00,5,141,690,620,8.075
141,1/29/2016 15:10,1/29/2016 18:00,6,142,880,690,8.563888889
142,1/29/2016 18:10,1/29/2016 21:00,7,143,1510,880,8.991666667
143,1/29/2016 21:10,1/29/2016 23:50,8,144,1170,1510,9.064705882
144,1/30/2016 0:00,1/30/2016 3:00,1,145,760,1170,8.986842105
145,1/30/2016 3:10,1/30/2016 6:00,2,146,690,760,8.836111111
146,1/30/2016 6:10,1/30/2016 9:00,3,147,730,690,8.452777778
147,1/30/2016 9:10,1/30/2016 12:00,4,148,1090,730,8.533333333
148,1/30/2016 12:10,1/30/2016 15:00,5,149,4450,1090,6.858333333
149,1/30/2016 15:10,1/30/2016 18:00,6,150,5660,4450,6.052777778
150,1/30/2016 18:10,1/30/2016 21:00,7,151,4270,5660,3.713888889
151,1/30/2016 21:10,1/30/2016 23:50,8,152,1140,4270,3.629411765
152,1/31/2016 0:00,1/31/2016 3:00,1,153,820,1140,4.060526316
153,1/31/2016 3:10,1/31/2016 6:00,2,154,760,820,4.286111111
154,1/31/2016 6:10,1/31/2016 9:00,3,155,1420,760,4.575
155,1/31/2016 9:10,1/31/2016 12:00,4,156,4240,1420,5.811111111
156,1/31/2016 12:10,1/31/2016 15:00,5,157,4040,4240,7.194444444
157,1/31/2016 15:10,1/31/2016 18:00,6,158,2730,4040,8.85
158,1/31/2016 18:10,1/31/2016 21:00,7,159,3500,2730,11.50833333
159,1/31/2016 21:10,1/31/2016 23:50,8,160,1130,3500,11.5
160,2/1/2016 0:00,2/1/2016 3:00,1,161,820,1130,11.35
161,2/1/2016 3:10,2/1/2016 6:00,2,162,830,820,10.88333333
162,2/1/2016 6:10,2/1/2016 9:00,3,163,1770,830,10.57777778
163,2/1/2016 9:10,2/1/2016 12:00,4,164,3570,1770,11.15833333
164,2/1/2016 12:10,2/1/2016 15:00,5,165,5730,3570,11.39166667
165,2/1/2016 15:10,2/1/2016 18:00,6,166,4790,5730,11.29444444
166,2/1/2016 18:10,2/1/2016 21:00,7,167,3430,4790,10.71944444
167,2/1/2016 21:10,2/1/2016 23:50,8,168,1510,3430,10.21470588
168,2/2/2016 0:00,2/2/2016 3:00,1,169,980,1510,10.25526316
169,2/2/2016 3:10,2/2/2016 6:00,2,170,820,980,9.766666667
170,2/2/2016 6:10,2/2/2016 9:00,3,171,1360,820,9.163888889
171,2/2/2016 9:10,2/2/2016 12:00,4,172,1270,1360,8.766666667
172,2/2/2016 12:10,2/2/2016 15:00,5,173,1340,1270,8.152777778
173,2/2/2016 15:10,2/2/2016 18:00,6,174,1190,1340,7.394444444
174,2/2/2016 18:10,2/2/2016 21:00,7,175,2930,1190,6.858333333
175,2/2/2016 21:10,2/2/2016 23:50,8,176,1330,2930,5.794117647
176,2/3/2016 0:00,2/3/2016 3:00,1,177,1190,1330,4.760526316
177,2/3/2016 3:10,2/3/2016 6:00,2,178,1000,1190,4.6
178,2/3/2016 6:10,2/3/2016 9:00,3,179,1820,1000,4.216666667
179,2/3/2016 9:10,2/3/2016 12:00,4,180,4000,1820,4.888888889
180,2/3/2016 12:10,2/3/2016 15:00,5,181,2520,4000,6.005555556
181,2/3/2016 15:10,2/3/2016 18:00,6,182,3860,2520,5.197222222
182,2/3/2016 18:10,2/3/2016 21:00,7,183,3260,3860,5.169444444
183,2/3/2016 21:10,2/3/2016 23:50,8,184,1490,3260,4.226470588
184,2/4/2016 0:00,2/4/2016 3:00,1,185,830,1490,2.189473684
185,2/4/2016 3:10,2/4/2016 6:00,2,186,740,830,2.102777778
186,2/4/2016 6:10,2/4/2016 9:00,3,187,910,740,3.619444444
187,2/4/2016 9:10,2/4/2016 12:00,4,188,2010,910,4.980555556
188,2/4/2016 12:10,2/4/2016 15:00,5,189,3160,2010,8.455555556
189,2/4/2016 15:10,2/4/2016 18:00,6,190,1700,3160,9.8
190,2/4/2016 18:10,2/4/2016 21:00,7,191,3290,1700,8.169444444
191,2/4/2016 21:10,2/4/2016 23:50,8,192,1810,3290,6.526470588
192,2/5/2016 0:00,2/5/2016 3:00,1,193,810,1810,7.352631579
193,2/5/2016 3:10,2/5/2016 6:00,2,194,760,810,8.602777778
194,2/5/2016 6:10,2/5/2016 9:00,3,195,820,760,8.766666667
195,2/5/2016 9:10,2/5/2016 12:00,4,196,950,820,9.294444444
196,2/5/2016 12:10,2/5/2016 15:00,5,197,920,950,9.8
197,2/5/2016 15:10,2/5/2016 18:00,6,198,1090,920,9.866666667
198,2/5/2016 18:10,2/5/2016 21:00,7,199,2760,1090,9.305555556
199,2/5/2016 21:10,2/5/2016 23:50,8,200,900,2760,8.873529412
200,2/6/2016 0:00,2/6/2016 3:00,1,201,890,900,9.2
201,2/6/2016 3:10,2/6/2016 6:00,2,202,770,890,8.969444444
202,2/6/2016 6:10,2/6/2016 9:00,3,203,830,770,8.122222222
203,2/6/2016 9:10,2/6/2016 12:00,4,204,900,830,8.830555556
204,2/6/2016 12:10,2/6/2016 15:00,5,205,1200,900,10.46944444
205,2/6/2016 15:10,2/6/2016 18:00,6,206,3930,1200,10.71388889
206,2/6/2016 18:10,2/6/2016 21:00,7,207,2120,3930,10.80555556
207,2/6/2016 21:10,2/6/2016 23:50,8,208,1340,2120,11.00294118
208,2/7/2016 0:00,2/7/2016 3:00,1,209,800,1340,11.13684211
209,2/7/2016 3:10,2/7/2016 6:00,2,210,760,800,8.994444444
210,2/7/2016 6:10,2/7/2016 9:00,3,211,810,760,7.1
211,2/7/2016 9:10,2/7/2016 12:00,4,212,950,810,7.288888889
212,2/7/2016 12:10,2/7/2016 15:00,5,213,950,950,8.230555556
213,2/7/2016 15:10,2/7/2016 18:00,6,214,1810,950,8.202777778
214,2/7/2016 18:10,2/7/2016 21:00,7,215,3480,1810,7.322222222
215,2/7/2016 21:10,2/7/2016 23:50,8,216,1870,3480,7.638235294
216,2/8/2016 0:00,2/8/2016 3:00,1,217,870,1870,7.794736842
217,2/8/2016 3:10,2/8/2016 6:00,2,218,760,870,7.861111111
218,2/8/2016 6:10,2/8/2016 9:00,3,219,1010,760,8.755555556
219,2/8/2016 9:10,2/8/2016 12:00,4,220,4130,1010,8.161111111
220,2/8/2016 12:10,2/8/2016 15:00,5,221,4600,4130,8.222222222
221,2/8/2016 15:10,2/8/2016 18:00,6,222,5030,4600,7.980555556
222,2/8/2016 18:10,2/8/2016 21:00,7,223,3660,5030,7.794444444
223,2/8/2016 21:10,2/8/2016 23:50,8,224,1160,3660,7.241176471
224,2/9/2016 0:00,2/9/2016 3:00,1,225,850,1160,6.286842105
225,2/9/2016 3:10,2/9/2016 6:00,2,226,790,850,6.208333333
226,2/9/2016 6:10,2/9/2016 9:00,3,227,900,790,6.266666667
227,2/9/2016 9:10,2/9/2016 12:00,4,228,3390,900,5.305555556
228,2/9/2016 12:10,2/9/2016 15:00,5,229,3980,3390,4.730555556
229,2/9/2016 15:10,2/9/2016 18:00,6,230,2590,3980,3.866666667
230,2/9/2016 18:10,2/9/2016 21:00,7,231,3850,2590,3.686111111
231,2/9/2016 21:10,2/9/2016 23:50,8,232,1760,3850,3.417647059
232,2/10/2016 0:00,2/10/2016 3:00,1,233,1330,1760,3.231578947
233,2/10/2016 3:10,2/10/2016 6:00,2,234,1190,1330,2.658333333
234,2/10/2016 6:10,2/10/2016 9:00,3,235,1320,1190,2.866666667
235,2/10/2016 9:10,2/10/2016 12:00,4,236,1670,1320,4.783333333
236,2/10/2016 12:10,2/10/2016 15:00,5,237,1410,1670,5.277777778
237,2/10/2016 15:10,2/10/2016 18:00,6,238,1710,1410,5.811111111
238,2/10/2016 18:10,2/10/2016 21:00,7,239,3560,1710,4.841666667
239,2/10/2016 21:10,2/10/2016 23:50,8,240,1690,3560,4.458823529
240,2/11/2016 0:00,2/11/2016 3:00,1,241,970,1690,3.821052632
241,2/11/2016 3:10,2/11/2016 6:00,2,242,820,970,2.352777778
242,2/11/2016 6:10,2/11/2016 9:00,3,243,1290,820,1.722222222
243,2/11/2016 9:10,2/11/2016 12:00,4,244,2090,1290,3.936111111
244,2/11/2016 12:10,2/11/2016 15:00,5,245,1980,2090,5.252777778
245,2/11/2016 15:10,2/11/2016 18:00,6,246,2600,1980,4.972222222
246,2/11/2016 18:10,2/11/2016 21:00,7,247,4040,2600,3.205555556
247,2/11/2016 21:10,2/11/2016 23:50,8,248,1510,4040,2.997058824
248,2/12/2016 0:00,2/12/2016 3:00,1,249,1040,1510,2.731578947
249,2/12/2016 3:10,2/12/2016 6:00,2,250,920,1040,1.958333333
250,2/12/2016 6:10,2/12/2016 9:00,3,251,990,920,2.533333333
251,2/12/2016 9:10,2/12/2016 12:00,4,252,3200,990,3.608333333
252,2/12/2016 12:10,2/12/2016 15:00,5,253,5190,3200,5.2
253,2/12/2016 15:10,2/12/2016 18:00,6,254,2160,5190,5.147222222
254,2/12/2016 18:10,2/12/2016 21:00,7,255,2320,2160,2.747222222
255,2/12/2016 21:10,2/12/2016 23:50,8,256,1150,2320,1.729411765
256,2/13/2016 0:00,2/13/2016 3:00,1,257,980,1150,0.613157895
257,2/13/2016 3:10,2/13/2016 6:00,2,258,890,980,0.772222222
258,2/13/2016 6:10,2/13/2016 9:00,3,259,920,890,1.172222222
259,2/13/2016 9:10,2/13/2016 12:00,4,260,3080,920,2.577777778
260,2/13/2016 12:10,2/13/2016 15:00,5,261,2130,3080,3.188888889
261,2/13/2016 15:10,2/13/2016 18:00,6,262,1450,2130,3.694444444
262,2/13/2016 18:10,2/13/2016 21:00,7,263,3370,1450,3.461111111
263,2/13/2016 21:10,2/13/2016 23:50,8,264,1020,3370,3.064705882
264,2/14/2016 0:00,2/14/2016 3:00,1,265,1000,1020,2.736842105
265,2/14/2016 3:10,2/14/2016 6:00,2,266,1000,1000,2.594444444
266,2/14/2016 6:10,2/14/2016 9:00,3,267,1440,1000,2.433333333
267,2/14/2016 9:10,2/14/2016 12:00,4,268,2280,1440,2.730555556
268,2/14/2016 12:10,2/14/2016 15:00,5,269,2210,2280,3.291666667
269,2/14/2016 15:10,2/14/2016 18:00,6,270,1950,2210,2.988888889
270,2/14/2016 18:10,2/14/2016 21:00,7,271,3300,1950,2.730555556
271,2/14/2016 21:10,2/14/2016 23:50,8,272,1570,3300,2.329411765
272,2/15/2016 0:00,2/15/2016 3:00,1,273,1050,1570,2.486842105
273,2/15/2016 3:10,2/15/2016 6:00,2,274,980,1050,2.4
274,2/15/2016 6:10,2/15/2016 9:00,3,275,1480,980,1.838888889
275,2/15/2016 9:10,2/15/2016 12:00,4,276,3600,1480,3.347222222
276,2/15/2016 12:10,2/15/2016 15:00,5,277,3520,3600,5.283333333
277,2/15/2016 15:10,2/15/2016 18:00,6,278,1030,3520,4.944444444
278,2/15/2016 18:10,2/15/2016 21:00,7,279,3930,1030,1.763888889
279,2/15/2016 21:10,2/15/2016 23:50,8,280,1360,3930,-0.261764706
280,2/16/2016 0:00,2/16/2016 3:00,1,281,890,1360,-1.063157895
281,2/16/2016 3:10,2/16/2016 6:00,2,282,740,890,-2.572222222
282,2/16/2016 6:10,2/16/2016 9:00,3,283,2610,740,-2.913888889
283,2/16/2016 9:10,2/16/2016 12:00,4,284,3290,2610,0.888888889
284,2/16/2016 12:10,2/16/2016 15:00,5,285,1210,3290,3.977777778
285,2/16/2016 15:10,2/16/2016 18:00,6,286,940,1210,3.947222222
286,2/16/2016 18:10,2/16/2016 21:00,7,287,2530,940,0.247222222
287,2/16/2016 21:10,2/16/2016 23:50,8,288,1210,2530,-1.855882353
288,2/17/2016 0:00,2/17/2016 3:00,1,289,1030,1210,-3.068421053
289,2/17/2016 3:10,2/17/2016 6:00,2,290,1030,1030,-3.038888889
290,2/17/2016 6:10,2/17/2016 9:00,3,291,1070,1030,-3.936111111
291,2/17/2016 9:10,2/17/2016 12:00,4,292,1280,1070,0.019444444
292,2/17/2016 12:10,2/17/2016 15:00,5,293,1160,1280,3.036111111
293,2/17/2016 15:10,2/17/2016 18:00,6,294,1320,1160,2.719444444
294,2/17/2016 18:10,2/17/2016 21:00,7,295,1660,1320,0.672222222
295,2/17/2016 21:10,2/17/2016 23:50,8,296,1070,1660,-0.223529412
296,2/18/2016 0:00,2/18/2016 3:00,1,297,970,1070,-0.373684211
297,2/18/2016 3:10,2/18/2016 6:00,2,298,850,970,-1.052777778
298,2/18/2016 6:10,2/18/2016 9:00,3,299,1300,850,-0.027777778
299,2/18/2016 9:10,2/18/2016 12:00,4,300,3030,1300,1.627777778
300,2/18/2016 12:10,2/18/2016 15:00,5,301,1260,3030,3.361111111
301,2/18/2016 15:10,2/18/2016 18:00,6,302,1200,1260,3.047222222
302,2/18/2016 18:10,2/18/2016 21:00,7,303,2370,1200,1.886111111
303,2/18/2016 21:10,2/18/2016 23:50,8,304,1080,2370,0.941176471
304,2/19/2016 0:00,2/19/2016 3:00,1,305,830,1080,0.273684211
305,2/19/2016 3:10,2/19/2016 6:00,2,306,740,830,0.622222222
306,2/19/2016 6:10,2/19/2016 9:00,3,307,1310,740,-0.733333333
307,2/19/2016 9:10,2/19/2016 12:00,4,308,4770,1310,2.866666667
308,2/19/2016 12:10,2/19/2016 15:00,5,309,3860,4770,6.436111111
309,2/19/2016 15:10,2/19/2016 18:00,6,310,3620,3860,6.680555556
310,2/19/2016 18:10,2/19/2016 21:00,7,311,1310,3620,4.358333333
311,2/19/2016 21:10,2/19/2016 23:50,8,312,710,1310,5.067647059
312,2/20/2016 0:00,2/20/2016 3:00,1,313,790,710,5.789473684
313,2/20/2016 3:10,2/20/2016 6:00,2,314,770,790,5.758333333
314,2/20/2016 6:10,2/20/2016 9:00,3,315,810,770,7.111111111
315,2/20/2016 9:10,2/20/2016 12:00,4,316,3200,810,8.644444444
316,2/20/2016 12:10,2/20/2016 15:00,5,317,3650,3200,9.655555556
317,2/20/2016 15:10,2/20/2016 18:00,6,318,1470,3650,9.655555556
318,2/20/2016 18:10,2/20/2016 21:00,7,319,2740,1470,10.1
319,2/20/2016 21:10,2/20/2016 23:50,8,320,1080,2740,10.92058824
320,2/21/2016 0:00,2/21/2016 3:00,1,321,860,1080,10.43684211
321,2/21/2016 3:10,2/21/2016 6:00,2,322,850,860,10.1
322,2/21/2016 6:10,2/21/2016 9:00,3,323,830,850,10.53055556
323,2/21/2016 9:10,2/21/2016 12:00,4,324,1290,830,10.825
324,2/21/2016 12:10,2/21/2016 15:00,5,325,1650,1290,11.34444444
325,2/21/2016 15:10,2/21/2016 18:00,6,326,1930,1650,11.93055556
326,2/21/2016 18:10,2/21/2016 21:00,7,327,4200,1930,11.1
327,2/21/2016 21:10,2/21/2016 23:50,8,328,1150,4200,10.53529412
328,2/22/2016 0:00,2/22/2016 3:00,1,329,1070,1150,9.965789474
329,2/22/2016 3:10,2/22/2016 6:00,2,330,930,1070,10.02777778
330,2/22/2016 6:10,2/22/2016 9:00,3,331,1100,930,9.486111111
331,2/22/2016 9:10,2/22/2016 12:00,4,332,2950,1100,9.352777778
332,2/22/2016 12:10,2/22/2016 15:00,5,333,1740,2950,10.34722222
333,2/22/2016 15:10,2/22/2016 18:00,6,334,1540,1740,7.011111111
334,2/22/2016 18:10,2/22/2016 21:00,7,335,2890,1540,5.475
335,2/22/2016 21:10,2/22/2016 23:50,8,336,1230,2890,5.026470588
336,2/23/2016 0:00,2/23/2016 3:00,1,337,1120,1230,4.005263158
337,2/23/2016 3:10,2/23/2016 6:00,2,338,1020,1120,3.713888889
338,2/23/2016 6:10,2/23/2016 9:00,3,339,970,1020,3.897222222
339,2/23/2016 9:10,2/23/2016 12:00,4,340,2460,970,5.6
340,2/23/2016 12:10,2/23/2016 15:00,5,341,1680,2460,6.588888889
341,2/23/2016 15:10,2/23/2016 18:00,6,342,1700,1680,5.686111111
342,2/23/2016 18:10,2/23/2016 21:00,7,343,2720,1700,3.672222222
343,2/23/2016 21:10,2/23/2016 23:50,8,344,1100,2720,1.252941176
344,2/24/2016 0:00,2/24/2016 3:00,1,345,890,1100,-0.044736842
345,2/24/2016 3:10,2/24/2016 6:00,2,346,860,890,-1.127777778
346,2/24/2016 6:10,2/24/2016 9:00,3,347,900,860,-2.022222222
347,2/24/2016 9:10,2/24/2016 12:00,4,348,1180,900,3.369444444
348,2/24/2016 12:10,2/24/2016 15:00,5,349,2010,1180,6.158333333
349,2/24/2016 15:10,2/24/2016 18:00,6,350,1950,2010,5.955555556
350,2/24/2016 18:10,2/24/2016 21:00,7,351,1980,1950,2.886111111
351,2/24/2016 21:10,2/24/2016 23:50,8,352,1460,1980,1.061764706
352,2/25/2016 0:00,2/25/2016 3:00,1,353,900,1460,0.668421053
353,2/25/2016 3:10,2/25/2016 6:00,2,354,800,900,-0.022222222
354,2/25/2016 6:10,2/25/2016 9:00,3,355,1500,800,-0.247222222
