Start Date,D,T,Energy
5/5/16,5,917,1160
5/5/16,6,918,2320
5/5/16,7,919,1750
5/5/16,8,920,1010
5/6/16,1,921,960
5/6/16,2,922,950
5/6/16,3,923,2530
5/6/16,4,924,3090
5/6/16,5,925,2010
5/6/16,6,926,1580
5/6/16,7,927,2380
5/6/16,8,928,1010
5/7/16,1,929,1020
5/7/16,2,930,960
5/7/16,3,931,1980
5/7/16,4,932,2970
5/7/16,5,933,1520
5/7/16,6,934,1640
5/7/16,7,935,2920
5/7/16,8,936,980
5/8/16,1,937,1050
5/8/16,2,938,970
5/8/16,3,939,2040
5/8/16,4,940,1700
5/8/16,5,941,1000
5/8/16,6,942,990
5/8/16,7,943,1140
5/8/16,8,944,980
5/9/16,1,945,1060
5/9/16,2,946,1060
5/9/16,3,947,1050
5/9/16,4,948,1100
5/9/16,5,949,2370
5/9/16,6,950,2550
5/9/16,7,951,1910
5/9/16,8,952,1150
5/10/16,1,953,1050
5/10/16,2,954,1070
5/10/16,3,955,1070
5/10/16,4,956,990
5/10/16,5,957,980
5/10/16,6,958,1570
5/10/16,7,959,1780
5/10/16,8,960,990
5/11/16,1,961,1050
5/11/16,2,962,1300
5/11/16,3,963,1810
5/11/16,4,964,1130
5/11/16,5,965,1270
5/11/16,6,966,1490
5/11/16,7,967,1650
5/11/16,8,968,970
5/12/16,1,969,1070
5/12/16,2,970,1010
5/12/16,3,971,940
5/12/16,4,972,950
5/12/16,5,973,1010
5/12/16,6,974,2420
5/12/16,7,975,1950
5/12/16,8,976,1050
5/13/16,1,977,1060
5/13/16,2,978,1000
5/13/16,3,979,4100
5/13/16,4,980,3200
5/13/16,5,981,5340
5/13/16,6,982,4890
5/13/16,7,983,3690
5/13/16,8,984,1000
5/14/16,1,985,1150
5/14/16,2,986,1060
5/14/16,3,987,1870
5/14/16,4,988,2280
5/14/16,5,989,2030
5/14/16,6,990,3240
5/14/16,7,991,1680
5/14/16,8,992,1030
